NUM;SAC;SIC;TIME;TIME(s);LAT;LON;H;TYP_020;SIM_020;RDP_020;SPI_020;RAB_020;TST_020;ERR_020;XPP_020;ME_020;MI_020;FOE_FRI_020;RHO;THETA;V_070;G_070;MODE 3/A;V_090;G_090;FL;MODE C Corrected Altitude;SRL_130;SSR_130;SAM_130;PRL_130;PAM_130;RPD_130;APD_130;TA;TI;MCP_ALT;FMS_ALT;BP;VNAV;ALT_HOLD;APP;TARGET_ALT_SOURCE;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;X;Y;GS_KT;HEADING;CNF_170;RAD_170;DOU_170;MAH_170;CDM_170;TRE_170;GHO_170;SUP_170;TCC_170;HEIGHT;COM_230;STAT_230;SI_230;MSCC_230;ARC_230;AIC_230;B1A_230;B1B_230
19;20;129;08:00:02.000;28802;41.720300770249004;2.2007932127103156;2979.609591313638;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;25.609375;9.99755859375;Code Validated;Default;2011;Code Validated;Default;97.75;;1.40625 dg;5;-48 dBm;0.17578125 dg;53 dBm;0.1328125 NM;-0.02197265625 dg;4CA216;EIN56P;6000;0;1018.0;Not Active;Not Active;Not Active;Unknown;N/A;N/A;N/A;N/A;N/A;164.70703125;250;0.452;-1376.0;-960.0;3164;N/A;N/A;330.2490234375;167.0526123046875;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0101
20;20;129;08:00:02.000;28802;41.74689115469837;2.2738266954800697;10058.588058463298;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;28.3984375;16.0784912109375;Code Validated;Default;1162;Code Validated;Default;330.0;;1.40625 dg;5;-55 dBm;0.7470703125 dg;28 dBm;0.16015625 NM;-0.087890625 dg;49328F;NJE875Q;33008;2496;1013.3;Active;Not Active;Not Active;FCU/MCP Selected Altitude;N/A;N/A;N/A;N/A;N/A;168.92578125;267;0.756;-160.0;0.0;777;N/A;N/A;511.3037109375;167.3492431640625;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0101
22;20;129;08:00:02.000;28802;41.70901474413324;2.4338792729459655;3017.5574570391327;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;28.74609375;31.31103515625;Code Validated;Default;2145;Code Validated;Default;99.0;;1.0546875 dg;4;-50 dBm;1.142578125 dg;55 dBm;0.15234375 NM;0.19775390625 dg;484163;KLM97C;9008;0;1013.2;Not Active;Not Active;Not Active;Unknown;N/A;N/A;N/A;N/A;N/A;-156.62109375;231;0.41600000000000004;-672.0;-736.0;1720;N/A;N/A;303.22265625;202.0770263671875;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0101
24;20;129;08:00:02.000;28802;41.534501059261956;2.452641413123574;365.6499973963946;Single SSR detection;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;21.14453125;48.3453369140625;Code Validated;Default;7052;Code Validated;Default;12.0;;3.1640625 dg;6;-57 dBm;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2460;N/A;N/A;88.76953125;77.4371337890625;Confirmed Track;SSR/Mode S Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
25;20;129;08:00:02.000;28802;41.534271734043294;2.4661147087395454;716.1562650753185;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;21.59765625;49.4384765625;Code Validated;Default;7372;Code Validated;Default;23.5;;1.2744140625 dg;4;-56 dBm;1.23046875 dg;50 dBm;0.0859375 NM;0.06591796875 dg;3452CD;EAX1M;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2740;N/A;N/A;102.1728515625;76.322021484375;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 0;BDS 1,0 bits 37/40 = 0000
27;20;129;08:00:03.000;28803;41.37610701887008;2.309030595615518;775.3571888301522;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;10.3984375;64.1326904296875;Code Validated;Default;3747;Code Validated;Default;24.0;2544.0;1.4501953125 dg;4;-45 dBm;0.17578125 dg;45 dBm;0.18359375 NM;-0.02197265625 dg;C0171A;ACA8?0;2304;0;1018.0;Not Active;Not Active;Not Active;Unknown;N/A;N/A;N/A;N/A;N/A;-115.3125;182;0.28800000000000003;-288.0;-256.0;2675;N/A;N/A;193.1396484375;245.555419921875;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 1101
28;20;129;08:00:03.000;28803;41.31925392200303;2.143453881692781;211.52917551342398;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;2.1796875;59.26025390625;Code Validated;Default;6423;Code Validated;Default;5.5;694.0;1.58203125 dg;5;-31 dBm;0.7470703125 dg;48 dBm;0.1484375 NM;0.06591796875 dg;20176;MAC373P;3008;0;1018.0;Not Active;Not Active;Not Active;Unknown;N/A;N/A;N/A;N/A;N/A;-115.13671875;140;0.212;-736.0;-736.0;3325;N/A;N/A;150.29296875;245.6488037109375;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0001
58;20;129;08:00:06.000;28806;41.71435975049184;2.2026648209917417;2956.743404334411;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;25.2734375;10.3271484375;Code Validated;Default;2011;Code Validated;Default;97.0;;1.40625 dg;5;-48 dBm;1.142578125 dg;54 dBm;0.125 NM;-0.1318359375 dg;4CA216;EIN56P;6000;0;1018.0;Not Active;Not Active;Not Active;Unknown;0.87890625;167.16796875;326.0;-0.09375;284;164.00390625;246;0.44;-1856.0;-1312.0;3164;N/A;N/A;324.9755859375;167.200927734375;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0101
59;20;129;08:00:06.000;28806;41.73762692777109;2.276619275729907;10058.577353180386;Single ModeS Roll-Call;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;27.91015625;16.6552734375;Code Validated;Default;1162;Code Validated;Default;330.0;;1.40625 dg;5;-56 dBm;N/A;N/A;0.15234375 NM;-0.19775390625 dg;49328F;NJE875Q;33008;2496;1013.3;Active;Not Active;Not Active;FCU/MCP Selected Altitude;-4.21875;166.46484375;512.0;0.0;436;168.046875;268;0.756;-32.0;0.0;777;N/A;N/A;511.962890625;166.5582275390625;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0101
61;20;129;08:00:06.000;28806;41.703797572685374;2.4310985440830817;3002.315190902911;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;28.4140625;31.4263916015625;Code Validated;Default;2145;Code Validated;Default;98.5;;1.3623046875 dg;5;-50 dBm;1.142578125 dg;59 dBm;0.14453125 NM;0.02197265625 dg;484163;KLM97C;9008;0;1013.2;Not Active;Not Active;Not Active;Unknown;N/A;N/A;N/A;N/A;N/A;-156.796875;231;0.41600000000000004;-800.0;-736.0;1720;N/A;N/A;301.904296875;201.97265625;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0101
63;20;129;08:00:06.000;28806;41.53497473153797;2.45485843526862;365.6480517452583;Single SSR detection;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;21.23828125;48.4661865234375;Code Validated;Default;7052;Code Validated;Default;12.0;;1.8017578125 dg;4;-55 dBm;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2460;N/A;N/A;89.8681640625;76.7889404296875;Confirmed Track;SSR/Mode S Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
64;20;129;08:00:06.000;28806;41.535012840847116;2.468347177369386;716.1543647628278;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;21.703125;49.5208740234375;Code Validated;Default;7372;Code Validated;Default;23.5;;1.318359375 dg;4;-56 dBm;0.3076171875 dg;46 dBm;0.10546875 NM;0.1318359375 dg;3452CD;EAX1M;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2740;N/A;N/A;101.2939453125;74.6026611328125;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 0;BDS 1,0 bits 37/40 = 0000
66;20;129;08:00:07.000;28807;41.37450752200081;2.304674361541779;775.3594354093075;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;10.1796875;64.13818359375;Code Validated;Default;3747;Code Validated;Default;24.0;2544.0;1.4501953125 dg;4;-44 dBm;0.7470703125 dg;63 dBm;0.16015625 NM;0.0 dg;C0171A;ACA8?0;2304;0;1018.0;Not Active;Not Active;Not Active;Unknown;-1.58203125;-115.3125;192.0;0.0;188;-116.19140625;181;0.28400000000000003;-352.0;-256.0;2675;N/A;N/A;192.2607421875;244.764404296875;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 1101
67;20;129;08:00:07.000;28807;41.318095021607796;2.1400486377620016;196.28950975369662;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;2.01171875;58.721923828125;Code Validated;Default;6423;Code Validated;Default;5.0;644.0;1.0107421875 dg;4;-30 dBm;0.3076171875 dg;47 dBm;0.1015625 NM;-0.06591796875 dg;20176;MAC373P;3008;0;1018.0;Not Active;Not Active;Not Active;Unknown;N/A;N/A;N/A;N/A;N/A;-115.3125;140;0.212;-736.0;-736.0;3325;N/A;N/A;149.4140625;245.489501953125;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0001
97;20;129;08:00:10.000;28810;41.70849995681465;2.204361193838405;2926.257412028499;ModeS Roll-Call + PSR;Actual target report;RDP Chain 1;Absence of SPI;Report from aircraft transponder;None;None;None;None;None;None;24.94140625;10.645751953125;Code Validated;Default;2011;Code Validated;Default;96.0;;1.40625 dg;4;-49 dBm;0.7470703125 dg;50 dBm;0.140625 NM;0.0 dg;4CA216;EIN56P;6000;0;1018.0;Not Active;Not Active;Not Active;Unknown;N/A;N/A;N/A;N/A;N/A;162.94921875;245;0.44;-1536.0;-1728.0;3164;N/A;N/A;322.7783203125;167.2943115234375;Confirmed Track;Combined Track;Normal confidence;No horizontal maneuver sensed;N/A;N/A;N/A;N/A;N/A;N/A;Comm. A and Comm. B capability;No alert, no SPI, aircraft airborne;SI-Code Capable;Yes;25 ft resolution;Yes;BDS 1,0 bit 16 = 1;BDS 1,0 bits 37/40 = 0101
